,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
10,1027_ESL,MAPMX-GP,11284,367.542721836,370.5179557800293,0.0,0.0,231,0.19542538187279598,0.3480155330581654,0.9028677560854124,0.3896652795554687,0.4645397110193275,0.8078334706966768
11,1027_ESL,MAPMX-GP,11964,365.548691257,367.1517758369446,0.0,0.0,212,0.2137272389340882,0.35893598582882574,0.8918400534238453,0.2931291307081814,0.4065339302857901,0.8620416132344484
12,1027_ESL,MAPMX-GP,15795,365.909968544,365.9236195087433,0.0,0.0,277,0.21654900455382142,0.3589520801050959,0.891461760398967,0.3113976105302281,0.41025433662048183,0.8490131923272008
13,1027_ESL,MAPMX-GP,21575,367.274315511,368.53932785987854,0.0,0.0,236,0.19510020204408515,0.33860052852665146,0.8926012448837142,0.43504507479890986,0.47115587698663314,0.8334736422871367
14,1027_ESL,MAPMX-GP,22118,372.139976638,372.15290808677673,0.0,0.0,304,0.22033549259436666,0.359171733730767,0.8933223171930772,0.26679670804748856,0.39910972984615245,0.8572865336000424
15,1027_ESL,MAPMX-GP,23654,365.91789238399997,366.0648558139801,0.0,0.0,258,0.20968504536350027,0.35563117196032834,0.8961329080690127,0.27372651427644173,0.4043117262279836,0.8635401447450911
16,1027_ESL,MAPMX-GP,29802,368.55065728700004,370.52023482322693,0.0,0.0,219,0.1905374962717309,0.33307919788033546,0.8964495168039598,0.40257642429897655,0.47061890506277104,0.8399629417145384
17,1027_ESL,MAPMX-GP,5390,373.439238916,373.7421350479126,0.0,0.0,193,0.222891347552673,0.37432592956534194,0.890406974894506,0.3176007749367025,0.39398574238381673,0.8381383347317967
18,1027_ESL,MAPMX-GP,6265,371.946936177,372.09456849098206,0.0,0.0,91,0.23006531422797488,0.3676342999136631,0.8850994361616487,0.2816842670021124,0.42200589913275777,0.8632375838315683
19,1027_ESL,MAPMX-GP,860,371.54047496600003,371.70943808555603,0.0,0.0,238,0.22292919533288755,0.3515317228740851,0.8903992274688687,0.25481444168785644,0.3889243679250646,0.8679804319798783
90,1028_SWD,MAPMX-GP,11284,959.552591214,959.8139517307281,0.0,0.0,222,0.3459471108694203,0.47173455187105234,0.4791696223110099,0.4041721710857726,0.5105823296673805,0.35268653411078343
91,1028_SWD,MAPMX-GP,11964,935.472503975,937.5793225765228,0.0,0.0,180,0.35197304349705905,0.4824817101534175,0.48796671795901414,0.37247411729396995,0.4743525624440307,0.3424018437085641
92,1028_SWD,MAPMX-GP,15795,934.4650475760001,936.08482837677,0.0,0.0,228,0.3503289779919067,0.47795479112086575,0.4748762201531521,0.379591872828253,0.4942609229255313,0.3951691000187172
93,1028_SWD,MAPMX-GP,21575,948.8214955789999,950.1755032539368,0.0,0.0,239,0.3459729838527066,0.46391504811571105,0.4832508326593785,0.37617547392971595,0.480142672672417,0.38972181387132376
94,1028_SWD,MAPMX-GP,22118,957.225311957,957.4157094955444,0.0,0.0,225,0.33322066077771567,0.4509120503155479,0.5151665243469605,0.44810472261802453,0.5360137588731491,0.19956142891690154
95,1028_SWD,MAPMX-GP,23654,947.4208583100001,951.2961955070496,0.0,0.0,248,0.35997893921988733,0.4841304394236799,0.460031591170169,0.3590006769411081,0.4725972798494679,0.4297811301730856
96,1028_SWD,MAPMX-GP,29802,944.408877666,947.7208745479584,0.0,0.0,175,0.3428164258210639,0.45854458996230824,0.47298650034340406,0.40133876491177567,0.5235286873612176,0.40657046991918466
97,1028_SWD,MAPMX-GP,5390,951.931047583,955.5007956027985,0.0,0.0,214,0.3448514493313848,0.47302288802245646,0.4858161560083766,0.40311712411185774,0.5036582212949298,0.34356008814280226
98,1028_SWD,MAPMX-GP,6265,941.986092804,943.1110663414001,0.0,0.0,240,0.3374216844597402,0.46232489185510794,0.4949731454373123,0.4206124987678594,0.5233183694374447,0.314051738519173
