,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
30,1027_ESL,MMTGP,11284,1296.554508864,1312.1646344661713,0.0,0.0,174,0.2039228675828094,0.3454700650288623,0.8986442522255964,0.39270749321783793,0.4758162732238707,0.8063331788524469
31,1027_ESL,MMTGP,11964,1197.8486630549999,1211.7048296928406,0.0,0.0,131,0.21786082221901357,0.3560555196159971,0.8897481902177544,0.30250697817865174,0.40797831859531564,0.8576280201356189
32,1027_ESL,MMTGP,15795,1321.6069143470002,1350.7029531002045,0.0,0.0,154,0.23092821704857336,0.37129329280036033,0.8842546415565358,0.23803019307369302,0.38820581803521753,0.8845867220344383
33,1027_ESL,MMTGP,21575,1379.141442095,1393.724458694458,0.0,0.0,141,0.20639444623830908,0.34464442796289124,0.8863839895773106,0.42900408313923105,0.4932997880079275,0.8357860103527334
34,1027_ESL,MMTGP,22118,1242.69780401,1262.0453872680664,0.0,0.0,132,0.21408577966563086,0.3429735123470406,0.8963481796430883,0.2706605496880044,0.3798686208637225,0.8552197081201705
35,1027_ESL,MMTGP,23654,899.418173276,915.1089787483215,0.0,0.0,146,0.2274254124300766,0.37932671568831766,0.8873452506860113,0.28906854789038355,0.4186763514494678,0.8558917381162758
36,1027_ESL,MMTGP,29802,1138.531954409,1151.2387413978577,0.0,0.0,133,0.20822977379466334,0.35519282463870855,0.8868343810842935,0.39955372938158945,0.45532538906209835,0.8411645600246902
37,1027_ESL,MMTGP,5390,881.083567886,889.53702044487,0.0,0.0,164,0.2202389418257557,0.3667861566194754,0.8917111312496616,0.2925150790978073,0.4093441420634938,0.8509229776650655
38,1027_ESL,MMTGP,6265,1082.034671289,1092.911108970642,0.0,0.0,158,0.22997670627565753,0.36287470140792527,0.8851436892630603,0.3152368174642512,0.42390518647271086,0.8469472602055743
39,1027_ESL,MMTGP,860,1023.199692741,1034.7600364685059,0.0,0.0,119,0.2314600784608222,0.3717798914011487,0.8862051093328468,0.2977802233642441,0.431891211141023,0.8457198257952726
110,1028_SWD,MMTGP,11284,2152.970200375,2175.8409996032715,0.0,0.0,137,0.35451727496177415,0.46508089014449333,0.46626706680228036,0.3919083194761964,0.4986628209207174,0.3723280553694578
111,1028_SWD,MMTGP,11964,2317.0466961250004,2340.4885404109955,0.0,0.0,189,0.3553695040543547,0.48481088705151143,0.4830257121672187,0.3821068748491206,0.49677266426677735,0.32539533690940825
112,1028_SWD,MMTGP,15795,1590.720478247,1604.6158785820007,0.0,0.0,167,0.3602934127793926,0.48126877800425927,0.45994008301247025,0.39018744406433903,0.5013709892097226,0.37828641799818497
113,1028_SWD,MMTGP,21575,2275.411143819,2299.7625250816345,0.0,0.0,152,0.35570293697402805,0.47582157173566436,0.46871806447119324,0.4106821882306298,0.5043228294796716,0.33374077185167117
114,1028_SWD,MMTGP,22118,2653.0278441019996,2680.629858493805,0.0,0.0,187,0.3428911026106783,0.4570611630921361,0.5010961065222284,0.42710633835534795,0.5206535308128336,0.23707033218413665
115,1028_SWD,MMTGP,23654,2503.553375828,2529.383632183075,0.0,0.0,154,0.36376909537145496,0.4834802372663687,0.45434635694281755,0.3538032838096658,0.46379206711551585,0.4380364116469514
116,1028_SWD,MMTGP,29802,3071.383750825,3102.3007221221924,0.0,0.0,160,0.3431176763118131,0.4592384509038962,0.4725233863749798,0.41498635482008545,0.5327994412769195,0.38639080233136947
117,1028_SWD,MMTGP,5390,2117.2436396499997,2442.2861564159393,0.0,0.0,173,0.3454713894033169,0.4786572722802577,0.4848918067854038,0.3778627401144823,0.4805499237197064,0.38468457681782287
118,1028_SWD,MMTGP,6265,2516.686668854,2539.1472549438477,0.0,0.0,194,0.3407668817764394,0.46067046379389087,0.48996631109159117,0.4319075528258589,0.5265396532031076,0.29563140456068826
119,1028_SWD,MMTGP,860,2125.742455685,2146.486876964569,0.0,0.0,181,0.35358815589366094,0.4745706258443676,0.4561059885305776,0.39081061588842986,0.5035712182155687,0.42447954824281087
190,1029_LEV,MMTGP,11284,878.956535968,2466.673262834549,0.0,0.0,167,0.37039936248314326,0.4592830698969157,0.5738399644165104,0.4147145148380495,0.4977168738433682,0.5926183547759829
191,1029_LEV,MMTGP,11964,1220.711268375,1307.5591423511505,0.0,0.0,123,0.3860108151398261,0.45740568649077673,0.572276864266785,0.35798126789704393,0.46517970891727684,0.6128358468988
192,1029_LEV,MMTGP,15795,805.270550823,1269.127316236496,0.0,0.0,127,0.34853781020851815,0.4472485295856357,0.6108995968287059,0.472408064758241,0.5132542627290616,0.5054023042182046
