,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
50,1027_ESL,PSTree,11284,444.76708107599995,445.0029208660126,0.0,0.0,659,0.18398859427752556,0.3375999814688208,0.9085521806553294,0.3704419774204243,0.44509372025737653,0.8173135949131707
51,1027_ESL,PSTree,11964,438.008462124,438.1733067035675,0.0,0.0,767,0.19710003515299448,0.3411705205234262,0.9002545048603726,0.30845883226813603,0.4164071288542301,0.8548268376449348
52,1027_ESL,PSTree,15795,454.715773407,455.0956230163574,0.0,0.0,656,0.1897049362172038,0.333325772788515,0.9049164882421612,0.25545531931813475,0.38398324850927423,0.8761378319467337
53,1027_ESL,PSTree,21575,455.814574659,456.0108013153076,0.0,0.0,673,0.180019649381788,0.3295626403269367,0.9009027871959581,0.4224279597842499,0.487849666421867,0.8383032158875431
54,1027_ESL,PSTree,22118,494.312895045,504.0577518939972,0.0,0.0,1070,0.22801531349186455,0.36957171973679337,0.8896040533397565,0.26279668865613565,0.386659443867476,0.8594262025531744
55,1027_ESL,PSTree,23654,465.580693919,465.6804904937744,0.0,0.0,549,0.2005455095016905,0.3438095844684095,0.9006601599286743,0.2783713329114995,0.38962035230829883,0.8612245806854649
56,1027_ESL,PSTree,29802,479.869838799,482.9107370376587,0.0,0.0,840,0.16648364892426687,0.3223149221028803,0.90952194382904,0.42442009462873315,0.4689554688251527,0.8312793812009812
57,1027_ESL,PSTree,5390,479.87803959099995,479.9509184360504,0.0,0.0,746,0.1860421609672767,0.3394533775780706,0.9085252817507918,0.31029484693450504,0.4211520126635052,0.8418617188230381
58,1027_ESL,PSTree,6265,467.751375973,468.7879784107208,0.0,0.0,1004,0.206202810592424,0.3455958094930595,0.897016987190669,0.3197780957274436,0.4171885941731567,0.8447423937628108
59,1027_ESL,PSTree,860,437.965366626,438.07010436058044,0.0,0.0,737,0.19820044198488548,0.34256461300096563,0.9025568565610372,0.2684502894724853,0.41241297514620184,0.8609156882306993
110,1028_SWD,PSTree,11284,493.77475062,493.7979962825775,0.0,0.0,608,0.3309705944476416,0.45684327272288866,0.501717070921918,0.39304124514199773,0.5075485977623266,0.3705135859631288
