,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
0,1027_ESL,SHM-GP,11284,11174.194767015999,11195.857399225235,0.0,0.0,78,0.20662855128093757,0.35585805096557477,0.8972994467228324,0.4266984059420513,0.45704764936382675,0.7895702901149235
1,1027_ESL,SHM-GP,11964,11221.828222358,11228.107381343842,0.0,0.0,67,0.22922361801948074,0.3707165072243788,0.8839978731647499,0.28053758124779626,0.40210558251488215,0.8679677040540017
2,1027_ESL,SHM-GP,15795,11553.911302903001,11560.160630702972,0.0,0.0,99,0.23725917238915795,0.38128908391965083,0.8810814533487413,0.25376784566195465,0.3975321718465739,0.8769560343084818
3,1027_ESL,SHM-GP,21575,11083.744615064,11102.967517614365,0.0,0.0,63,0.21059965539461026,0.3544754978652483,0.8840691061294282,0.4336914574548083,0.47070294575302135,0.8339917793242113
4,1027_ESL,SHM-GP,22118,11153.216411835,11160.185365438461,0.0,0.0,90,0.23914557766485833,0.37401210264332496,0.8842152220760173,0.24489593245793284,0.3841386460814713,0.8690015792020171
5,1027_ESL,SHM-GP,23654,11123.02252297,11173.275157690048,0.0,0.0,64,0.2316687950653602,0.37614367372324864,0.885243299097078,0.2844435409268524,0.42185844360595326,0.8581974255374039
6,1027_ESL,SHM-GP,29802,11099.848243202001,11228.434122562408,0.0,0.0,66,0.2058427795050363,0.3470196250257018,0.8881316292213456,0.34358781730763693,0.43125885747556647,0.8634128075423502
7,1027_ESL,SHM-GP,5390,11280.141034044,11295.794581890106,0.0,0.0,63,0.2364575356228474,0.3852321746265203,0.8837366415411257,0.3125391312638782,0.40479288018548537,0.8407179445392376
8,1027_ESL,SHM-GP,6265,10725.852470287,10791.57165813446,0.0,0.0,50,0.23379249660275994,0.37655592503342583,0.8832379849566799,0.26422688465531696,0.4024983929846968,0.8717134345247346
9,1027_ESL,SHM-GP,860,10756.924062258,10938.149984121323,0.0,0.0,56,0.23996643552999075,0.3810259130539697,0.8820230491732775,0.23819404423066987,0.38161797432749756,0.8765914733246557
60,1028_SWD,SHM-GP,11284,10385.893871042,10447.743559598923,0.0,0.0,57,0.35440795843274936,0.48181033450480665,0.4664316450493904,0.3914695596442626,0.509873016965615,0.3730307636898724
61,1028_SWD,SHM-GP,11964,10615.998783648001,10731.612251281738,0.0,0.0,94,0.3660199958869264,0.488922613246522,0.4675318941344523,0.37629295543671115,0.47958244720364757,0.3356597351827787
62,1028_SWD,SHM-GP,15795,10325.988075297,10328.014644861221,0.0,0.0,46,0.36307951252765996,0.4857111198991379,0.45576387344160707,0.4128846671798139,0.5165427921270828,0.34212130787155204
63,1028_SWD,SHM-GP,21575,10916.422916396,10972.628899335861,0.0,0.0,63,0.3585727647011842,0.4810116753056935,0.46443165727284874,0.40647712564556954,0.50839555189355,0.34056274230115247
64,1028_SWD,SHM-GP,22118,10939.124881531001,10940.805410861969,0.0,0.0,60,0.34974312195741275,0.47238818953156686,0.49112647154411626,0.4258663689305575,0.5320024543635581,0.23928525941982215
65,1028_SWD,SHM-GP,23654,10797.605117206002,10830.337178707123,0.0,0.0,95,0.3711843508584431,0.4932007414416451,0.4432234737123354,0.37155926885450813,0.4835816401817443,0.40983368564876477
66,1028_SWD,SHM-GP,29802,11168.801742903,11231.738852500916,0.0,0.0,81,0.3549347741922121,0.4719179420649059,0.4543568994722075,0.4338870075196681,0.5460758232632436,0.3584438247893431
67,1028_SWD,SHM-GP,5390,10927.708031481,11070.550553560257,0.0,0.0,61,0.36257777016955134,0.48433213412601195,0.45938568049183415,0.39642416507700523,0.4932969246409966,0.3544589688305978
68,1028_SWD,SHM-GP,6265,11118.529566961,11130.091816425323,0.0,0.0,73,0.350552751402164,0.4720277908947387,0.47531957324439755,0.44326963521699636,0.5304372379446466,0.2771017586613539
69,1028_SWD,SHM-GP,860,10821.480584182,10908.738886117935,0.0,0.0,54,0.36232178145593774,0.48672174302405696,0.44267180935188577,0.39916001465383044,0.5118464629085883,0.4121839514652247
120,1029_LEV,SHM-GP,11284,11118.419664557001,11186.948035001755,0.0,0.0,54,0.3747487082024706,0.4628157879744532,0.5688358593497859,0.42042486717758626,0.5073262010186216,0.587008971338324
121,1029_LEV,SHM-GP,11964,11225.80983584,11251.50887465477,0.0,0.0,56,0.3889392684303684,0.4613629731312015,0.5690319623750457,0.35623014788192076,0.4701275656955715,0.6147297194514518
122,1029_LEV,SHM-GP,15795,11119.837066852,11137.071075439453,0.0,0.0,114,0.34669717170337405,0.4535691699044687,0.6129544475894186,0.49546868792525267,0.5329865398997015,0.4812584931096173
123,1029_LEV,SHM-GP,21575,11382.801942281,11399.563170671463,0.0,0.0,74,0.3747750895796039,0.4559457328849147,0.5930486214207283,0.40901081046358717,0.4895224369579953,0.53521498810956
124,1029_LEV,SHM-GP,22118,11067.171958505,11071.243610858917,0.0,0.0,68,0.3740714642205098,0.4661044920787035,0.5855725075108833,0.40969672009644514,0.4928543217218707,0.5615403252392497
125,1029_LEV,SHM-GP,23654,11000.207369318001,11047.632269144058,0.0,0.0,73,0.3723324010055306,0.4630337439032381,0.5925739072236091,0.4103457141895995,0.47684831385471516,0.5431995024072036
126,1029_LEV,SHM-GP,29802,11390.190195121,11429.251936912537,0.0,0.0,48,0.37726073689990275,0.46372029398270515,0.5958698145572083,0.40050566600025933,0.46539539725131657,0.5244394687093205
127,1029_LEV,SHM-GP,5390,11395.354318634,11530.782000303268,0.0,0.0,73,0.390005766824938,0.4643937819944988,0.5877619609010989,0.3575514390397142,0.46045518326039664,0.5554523674634042
128,1029_LEV,SHM-GP,6265,10980.671228500001,10991.486714839935,0.0,0.0,40,0.3663486844183394,0.4596963383401964,0.5983997369348288,0.4345616476564935,0.4925621142037747,0.5184378904515808
129,1029_LEV,SHM-GP,860,11809.130512445001,11909.045777797699,0.0,0.0,52,0.37318567924065343,0.46041380449091784,0.5733395435510822,0.41792164339535964,0.4964710081914653,0.5888216810356556
180,1030_ERA,SHM-GP,11284,11422.388286745,11435.07484793663,0.0,0.0,46,2.378525970392277,1.2389451844754211,0.4134038320650082,2.369424510737913,1.20170936320598,0.3087574827707782
181,1030_ERA,SHM-GP,11964,11717.52867921,11868.219465494156,0.0,0.0,64,2.3284856195988604,1.2228093369585888,0.40649086946729507,2.4438313822672146,1.2591770637877657,0.37970296223256983
182,1030_ERA,SHM-GP,15795,11456.604278076,11464.055464029312,0.0,0.0,52,2.3150506775009245,1.2090104949403777,0.3999380655893132,2.4757681769033333,1.2515089119447087,0.3965567911502633
183,1030_ERA,SHM-GP,21575,11421.704385277999,11441.483522415161,0.0,0.0,51,2.3725726196004397,1.240417474351708,0.4035154713223553,2.278597781556255,1.1834159899874166,0.3969691805706026
184,1030_ERA,SHM-GP,22118,11529.382780349,11536.717271089554,0.0,0.0,90,2.4021619008301016,1.2232422773960072,0.3857609009019679,2.2576503205751752,1.2339593776395283,0.43122835396096304
185,1030_ERA,SHM-GP,23654,11706.719538756,11774.370775938034,0.0,0.0,65,2.2774347559236836,1.2053180353218755,0.41213371264986376,2.6036138403955147,1.2675301465515914,0.35201248372436167
186,1030_ERA,SHM-GP,29802,11595.009297903,11607.825798273087,0.0,0.0,72,2.345674706812677,1.2245178941307515,0.3803446634590024,2.315588458501289,1.2071166853080273,0.4664916424053962
